name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-04-24 02:00:00,68128,4512,63569
Guangdong,Mainland China,2020-04-24 02:00:00,1585,8,1528
Henan,Mainland China,2020-04-14 01:00:00,1276,22,1254
Zhejiang,Mainland China,2020-04-17 03:00:00,1268,1,1246
Hunan,Mainland China,2020-04-02 02:00:00,1019,4,1014
Anhui,Mainland China,2020-04-09 02:00:00,991,6,984
Jiangxi,Mainland China,2020-04-10 02:00:00,937,1,936
Shandong,Mainland China,2020-04-17 01:00:00,787,7,761
Jiangsu,Mainland China,2020-04-17 02:00:00,653,0,643
Chongqing,Mainland China,2020-03-29 01:00:00,579,6,570
Sichuan,Mainland China,2020-04-18 02:00:00,561,3,553
Beijing,Mainland China,2020-04-17 03:00:00,593,8,509
Heilongjiang,Mainland China,2020-04-24 02:00:00,928,13,485
Shanghai,Mainland China,2020-04-24 01:00:00,641,7,533
Hebei,Mainland China,2020-04-17 02:00:00,328,6,316
Hong Kong,Hong Kong,2020-04-23 11:00:00,1035,4,699
Fujian,Mainland China,2020-04-18 01:00:00,355,1,336
Guangxi,Mainland China,2020-04-01 18:00:00,254,2,252
Shaanxi,Mainland China,2020-04-22 03:00:00,279,3,253
Yunnan,Mainland China,2020-04-17 00:00:00,184,2,177
Taiwan,Taiwan,2020-04-24 07:00:00,428,6,264
Hainan,Mainland China,2020-03-24 05:00:00,168,6,162
Guizhou,Mainland China,2020-04-19 01:00:00,147,2,145
Tianjin,Mainland China,2020-04-24 12:00:00,190,3,179
Gansu,Mainland China,2020-04-16 14:00:00,139,2,137
Shanxi,Mainland China,2020-04-17 00:00:00,197,0,135
Liaoning,Mainland China,2020-04-17 01:00:00,146,2,140
Jilin,Mainland China,2020-04-24 01:00:00,108,1,99
Xinjiang Uygur,Mainland China,2020-03-09 01:00:00,76,3,73
Nei Mongol,Mainland China,2020-04-20 02:00:00,194,1,104
Ningxia,Mainland China,2020-03-17 02:00:00,75,0,75
Macau,Macau,2020-04-15 15:00:00,45,0,16
Qinghai,Mainland China,2020-03-07 01:00:00,18,0,18
Xizang,Mainland China,2020-02-23 12:00:00,1,0,1
Yemen,Yemen,2020-04-18 00:00:00,1,0,0
Sao Tome and Principe,Sao Tome and Principe,2020-04-18 00:00:00,4,0,0
Saint Pierre and Miquelon,Saint Pierre and Miquelon,2020-04-18 00:00:00,1,0,0
South Sudan,South Sudan,2020-04-24 11:00:00,5,0,0
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-04-05 20:00:00,2,0,0
Malawi,Malawi,2020-04-23 11:00:00,33,3,3
Burundi,Burundi,2020-04-22 10:00:00,11,1,4
Sierra Leone,Sierra Leone,2020-04-24 13:00:00,82,2,10
Botswana,Botswana,2020-04-22 16:00:00,22,1,0
Anguilla,Anguilla,2020-04-02 17:00:00,3,0,0
Saint Barthelemy,Saint Barthelemy,2020-03-30 16:00:00,6,0,1
Bermuda,Bermuda,2020-04-23 00:00:00,99,5,39
Faroe Islands,Faroe Islands,2020-04-23 11:00:00,187,0,178
Gibraltar,Gibraltar,2020-04-23 19:00:00,133,0,129
Isle of Man,Isle of Man,2020-04-24 22:00:00,308,18,230
Saint Martin,Saint Martin,2020-04-22 03:00:00,38,2,19
Montserrat,Montserrat,2020-04-18 00:00:00,11,0,1
Mayotte,Mayotte,2020-04-24 13:00:00,354,4,144
New Caledonia,New Caledonia,2020-04-02 12:00:00,18,0,1
Sint Maarten,Sint Maarten,2020-04-23 11:00:00,73,12,22
Turks and Caicos Islands,Turks and Caicos Islands,2020-04-18 00:00:00,11,1,0
Republic of the Congo,Republic of the Congo,2020-04-23 00:00:00,186,6,16
Angola,Angola,2020-04-22 20:00:00,25,2,6
Benin,Benin,2020-04-20 14:00:00,54,1,27
Bahamas,Bahamas,2020-04-24 03:00:00,72,11,14
Belize,Belize,2020-04-18 00:00:00,18,2,0
Barbados,Barbados,2020-04-23 11:00:00,76,6,27
Central African Republic,Central African Republic,2020-04-23 23:00:00,16,0,10
Cabo Verde,Cabo Verde,2020-04-24 16:00:00,88,1,1
Djibouti,Djibouti,2020-04-24 13:00:00,999,2,330
Dominica,Dominica,2020-04-18 00:00:00,16,0,8
Eritrea,Eritrea,2020-04-18 20:00:00,39,0,3
Fiji,Fiji,2020-04-20 11:00:00,18,0,3
Gambia,Gambia,2020-04-20 11:00:00,10,1,2
Guinea-Bissau,Guinea-Bissau,2020-04-19 21:00:00,50,0,3
Equatorial Guinea,Equatorial Guinea,2020-04-24 20:00:00,214,1,7
Grenada,Grenada,2020-04-23 00:00:00,15,0,6
Haiti,Haiti,2020-04-24 03:00:00,72,5,2
Kyrgyzstan,Kyrgyzstan,2020-04-24 11:00:00,656,8,322
Saint Kitts and Nevis,Saint Kitts and Nevis,2020-04-20 11:00:00,15,0,0
Laos,Laos,2020-04-12 13:00:00,19,0,0
Liberia,Liberia,2020-04-24 13:00:00,117,8,25
Libya,Libya,2020-04-23 11:00:00,60,1,15
Madagascar,Madagascar,2020-04-24 13:00:00,122,0,61
Mali,Mali,2020-04-23 19:00:00,309,21,77
Montenegro,Montenegro,2020-04-24 11:00:00,319,5,123
Mozambique,Mozambique,2020-04-24 18:00:00,65,0,12
Mauritius,Mauritius,2020-04-23 16:00:00,331,9,266
Niger,Niger,2020-04-24 03:00:00,671,24,256
Nicaragua,Nicaragua,2020-04-23 19:00:00,11,3,7
Papua New Guinea,Papua New Guinea,2020-04-22 10:00:00,8,0,0
El Salvador,El Salvador,2020-04-24 11:00:00,261,8,72
Somalia,Somalia,2020-04-23 19:00:00,328,16,8
Kosovo,Kosovo,2020-04-18 23:00:00,510,12,93
Syria,Syria,2020-04-21 21:00:00,42,3,6
Chad,Chad,2020-04-24 11:00:00,40,0,8
Timor-Leste,Timor-Leste,2020-04-21 10:00:00,23,0,1
Tanzania,Tanzania,2020-04-22 10:00:00,284,10,11
Uganda,Uganda,2020-04-24 03:00:00,74,0,46
Zambia,Zambia,2020-04-24 18:00:00,84,3,37
Zimbabwe,Zimbabwe,2020-04-24 11:00:00,29,4,2
Iran,Iran,2020-04-24 13:00:00,88194,5574,66599
France,France,2020-04-24,122577,22245,43493
Switzerland,Switzerland,2020-04-24 11:00:00,28677,1551,20600
United Kingdom,United Kingdom,2020-04-24 20:00:00,144634,19564,712
Netherlands,Netherlands,2020-04-24 20:00:00,36727,4304,6
Norway,Norway,2020-04-24 18:00:00,7444,199,32
Portugal,Portugal,2020-04-24 16:00:00,22797,854,1228
Sweden,Sweden,2020-04-24 13:00:00,17567,2152,550
Australia,Australia,2020-04-24 11:00:00,6675,78,5136
Denmark,Denmark,2020-04-24 11:00:00,8210,394,5384
Malaysia,Malaysia,2020-04-24 11:00:00,5691,96,3663
Israel,Israel,2020-04-24 20:00:00,15058,194,6003
Turkey,Turkey,2020-04-24 18:00:00,104912,2600,21737
Czech Republic,Czech Republic,2020-04-24 18:00:00,7236,214,2371
Japan,Japan,2020-04-24 03:00:00,12368,328,1494
Ireland,Ireland,2020-04-24 20:00:00,18184,1014,9233
Pakistan,Pakistan,2020-04-24 22:00:00,11940,253,2755
Luxembourg,Luxembourg,2020-04-24 20:00:00,3695,85,3007
Ecuador,Ecuador,2020-04-24 20:00:00,18778,576,1366
Thailand,Thailand,2020-04-24 11:00:00,2854,50,2490
Finland,Finland,2020-04-24 11:00:00,4395,172,2000
Others,Japan (Diamond Princess),2020-03-03 03:00:00,706,6,10
Poland,Poland,2020-04-24 18:00:00,10892,494,1944
Iceland,Iceland,2020-04-23 15:00:00,1789,10,1509
Indonesia,Indonesia,2020-04-24 11:00:00,8211,689,1002
Romania,Romania,2020-04-24 11:00:00,10417,552,2817
Saudi Arabia,Saudi Arabia,2020-04-24 16:00:00,15102,127,2049
Singapore,Singapore,2020-04-24 11:00:00,12075,12,924
Qatar,Qatar,2020-04-24 13:00:00,8525,10,809
Philippines,Philippines,2020-04-24 11:00:00,7192,477,762
Slovenia,Slovenia,2020-04-24 13:00:00,1373,80,211
Russia,Russia,2020-04-24 11:00:00,68622,615,5568
South Africa,South Africa,2020-04-24 20:00:00,4220,79,1473
Estonia,Estonia,2020-04-24 11:00:00,1605,46,206
Bahrain,Bahrain,2020-04-24 16:00:00,2506,8,1082
Egypt,Egypt,2020-04-24 16:00:00,4092,294,1075
Mexico,Mexico,2020-04-24 03:00:00,11633,1069,2627
Croatia,Croatia,2020-04-24 16:00:00,2009,51,982
Panama,Panama,2020-04-24 03:00:00,5166,146,271
Lebanon,Lebanon,2020-04-24 11:00:00,696,22,140
Iraq,Iraq,2020-04-24 22:00:00,1708,86,1204
Serbia,Serbia,2020-04-20 23:00:00,6630,125,870
Dominican Republic,Dominican Republic,2020-04-24 18:00:00,5749,267,763
