name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-05-12 02:00:00,68134,4512,63616
Guangdong,Mainland China,2020-05-12 02:00:00,1589,8,1578
Henan,Mainland China,2020-05-12 02:00:00,1276,22,1254
Zhejiang,Mainland China,2020-05-12 02:00:00,1268,1,1267
Hong Kong,Hong Kong,2020-05-12 02:00:00,1047,4,985
Hunan,Mainland China,2020-05-12 02:00:00,1019,4,1015
Anhui,Mainland China,2020-05-12 02:00:00,991,6,985
Jiangxi,Mainland China,2020-05-12 02:00:00,937,1,936
Heilongjiang,Mainland China,2020-05-12 02:00:00,945,13,924
Shandong,Mainland China,2020-05-12 02:00:00,788,7,777
Jiangsu,Mainland China,2020-05-12 02:00:00,653,0,653
Chongqing,Mainland China,2020-05-12 02:00:00,579,6,573
Beijing,Mainland China,2020-05-12 02:00:00,593,9,571
Shanghai,Mainland China,2020-05-12 02:00:00,659,7,627
Sichuan,Mainland China,2020-05-12 02:00:00,561,3,558
Taiwan,Taiwan,2020-05-12 02:00:00,440,7,368
Fujian,Mainland China,2020-05-12 02:00:00,356,1,354
Hebei,Mainland China,2020-05-12 02:00:00,328,6,321
Shaanxi,Mainland China,2020-05-12 02:00:00,308,3,296
Guangxi,Mainland China,2020-05-12 02:00:00,254,2,252
Nei Mongol,Mainland China,2020-05-12 02:00:00,209,1,188
Shanxi,Mainland China,2020-05-12 02:00:00,198,0,197
Tianjin,Mainland China,2020-05-12 02:00:00,191,3,186
Yunnan,Mainland China,2020-05-12 02:00:00,185,2,183
Hainan,Mainland China,2020-05-12 02:00:00,168,6,162
Guizhou,Mainland China,2020-05-12 02:00:00,147,2,145
Liaoning,Mainland China,2020-05-12 02:00:00,147,2,144
Gansu,Mainland China,2020-05-12 02:00:00,139,2,137
Jilin,Mainland China,2020-05-12 02:00:00,127,1,105
Xinjiang Uygur,Mainland China,2020-05-12 02:00:00,76,3,73
Ningxia,Mainland China,2020-05-12 02:00:00,75,0,75
Macau,Macau,2020-05-12 02:00:00,45,0,42
Qinghai,Mainland China,2020-05-12 02:00:00,18,0,18
Xizang,Mainland China,2020-05-12 02:00:00,1,0,1
Comoros,Comoros,2020-05-12 02:00:00,11,1,0
Tajikistan,Tajikistan,2020-05-12 02:00:00,661,21,0
Yemen,Yemen,2020-05-12 02:00:00,56,9,1
Sao Tome and Principe,Sao Tome and Principe,2020-05-12 02:00:00,208,5,4
